"pos","lat","lon","alt","time","speed","bearing","acc","heartRate","cadence","temperature","strides","speed_sensor","custom_coords"
"150","46.751438","-121.940314","585","2023-11-24T09:27:29.398-0800","22.39","113","3.92","","","","","",""
"151","46.751320","-121.939741","585","2023-11-24T09:27:31.398-0800","22.63","105","3.89","","","","","",""
"152","46.751241","-121.939160","585","2023-11-24T09:27:33.399-0800","22.58","100","3.89","","","","","",""
"153","46.751168","-121.938581","584","2023-11-24T09:27:35.399-0800","22.38","100","3.90","","","","","",""
"154","46.751095","-121.938004","585","2023-11-24T09:27:37.399-0800","22.23","100","3.90","","","","","",""
"155","46.750995","-121.937159","584","2023-11-24T09:27:40.397-0800","21.18","100","3.90","","","","","",""
"156","46.750931","-121.936632","585","2023-11-24T09:27:42.398-0800","20.43","100","3.95","","","","","",""
"157","46.750865","-121.936112","585","2023-11-24T09:27:44.399-0800","19.97","100","4.17","","","","","",""
"158","46.750768","-121.935342","584","2023-11-24T09:27:47.399-0800","19.84","100","4.73","","","","","",""
"159","46.750672","-121.934577","585","2023-11-24T09:27:50.399-0800","20.12","100","5.01","","","","","",""
"160","46.750572","-121.933805","586","2023-11-24T09:27:53.398-0800","19.84","100","4.82","","","","","",""
"161","46.750504","-121.933288","586","2023-11-24T09:27:55.399-0800","19.85","100","4.84","","","","","",""
"162","46.750409","-121.932527","587","2023-11-24T09:27:58.398-0800","19.87","100","4.64","","","","","",""
"163","46.750309","-121.931775","587","2023-11-24T09:28:01.398-0800","19.32","101","4.21","","","","","",""
"164","46.750240","-121.931269","588","2023-11-24T09:28:03.398-0800","19.56","101","4.07","","","","","",""
"165","46.750164","-121.930780","589","2023-11-24T09:28:05.399-0800","19.13","102","3.90","","","","","",""
"166","46.750014","-121.930061","590","2023-11-24T09:28:08.398-0800","18.77","109","3.98","","","","","",""
"167","46.749907","-121.929607","591","2023-11-24T09:28:10.399-0800","17.91","108","3.96","","","","","",""
"168","46.749757","-121.928961","593","2023-11-24T09:28:13.398-0800","17.15","108","3.93","","","","","",""
"169","46.749659","-121.928544","593","2023-11-24T09:28:15.399-0800","16.41","108","3.90","","","","","",""
"170","46.749512","-121.927942","594","2023-11-24T09:28:18.398-0800","16.29","110","3.90","","","","","",""
"171","46.749393","-121.927552","594","2023-11-24T09:28:20.399-0800","16.33","115","3.90","","","","","",""
"172","46.749238","-121.927187","595","2023-11-24T09:28:22.399-0800","16.81","123","3.90","","","","","",""
"173","46.748932","-121.926682","596","2023-11-24T09:28:25.398-0800","17.35","136","6.95","","","","","",""
"174","46.748684","-121.926400","596","2023-11-24T09:28:27.398-0800","17.23","143","9.01","","","","","",""
"175","46.748434","-121.926151","597","2023-11-24T09:28:29.398-0800","16.54","144","10.05","","","","","",""
"176","46.748191","-121.925898","598","2023-11-24T09:28:31.399-0800","16.64","144","10.13","","","","","",""
"177","46.747820","-121.925513","599","2023-11-24T09:28:34.397-0800","17.34","145","10.24","","","","","",""
"178","46.747560","-121.925249","599","2023-11-24T09:28:36.399-0800","17.63","145","10.18","","","","","",""
"179","46.747157","-121.924872","600","2023-11-24T09:28:39.398-0800","17.94","148","10.05","","","","","",""
"180","46.746880","-121.924645","601","2023-11-24T09:28:41.398-0800","17.18","151","10.10","","","","","",""
"181","46.746611","-121.924447","602","2023-11-24T09:28:43.399-0800","16.78","153","10.28","","","","","",""
"182","46.746198","-121.924182","602","2023-11-24T09:28:46.398-0800","17.46","156","10.34","","","","","",""
"183","46.745905","-121.924015","603","2023-11-24T09:28:48.399-0800","17.13","160","10.21","","","","","",""
"184","46.745478","-121.923832","603","2023-11-24T09:28:51.398-0800","15.78","164","10.15","","","","","",""
"185","46.745047","-121.923711","604","2023-11-24T09:28:54.399-0800","17.33","172","10.10","","","","","",""
"186","46.744722","-121.923668","604","2023-11-24T09:28:56.399-0800","18.56","174","9.99","","","","","",""
"187","46.744390","-121.923627","606","2023-11-24T09:28:58.399-0800","18.47","173","9.97","","","","","",""
"188","46.744056","-121.923547","606","2023-11-24T09:29:00.399-0800","19.09","168","9.97","","","","","",""
"189","46.743724","-121.923393","607","2023-11-24T09:29:02.399-0800","19.75","158","9.99","","","","","",""
"190","46.743405","-121.923146","607","2023-11-24T09:29:04.399-0800","19.65","150","9.99","","","","","",""
"191","46.743003","-121.922648","607","2023-11-24T09:29:07.398-0800","19.51","136","6.95","","","","","",""
"192","46.742778","-121.922255","608","2023-11-24T09:29:09.398-0800","19.60","127","4.91","","","","","",""
"193","46.742582","-121.921817","609","2023-11-24T09:29:11.398-0800","19.82","121","3.90","","","","","",""
"194","46.742393","-121.921374","610","2023-11-24T09:29:13.398-0800","20.33","121","3.90","","","","","",""
"195","46.742196","-121.920920","610","2023-11-24T09:29:15.398-0800","20.33","122","3.90","","","","","",""
"196","46.742004","-121.920476","611","2023-11-24T09:29:17.399-0800","20.15","122","3.90","","","","","",""
"197","46.741809","-121.920026","611","2023-11-24T09:29:19.399-0800","20.31","122","3.90","","","","","",""
"198","46.741517","-121.919357","612","2023-11-24T09:29:22.397-0800","19.78","121","3.90","","","","","",""
"199","46.741340","-121.918923","613","2023-11-24T09:29:24.399-0800","18.76","119","3.90","","","","","",""
"200","46.741150","-121.918301","613","2023-11-24T09:29:27.398-0800","15.86","109","3.93","","","","","",""
"201","46.741113","-121.917923","613","2023-11-24T09:29:29.399-0800","13.99","96","3.94","","","","","",""
"202","46.741086","-121.917415","613","2023-11-24T09:29:32.399-0800","11.24","94","4.06","","","","","",""
"203","46.741053","-121.917086","613","2023-11-24T09:29:35.398-0800","6.78","99","4.69","","","","","",""
"204","46.741035","-121.916807","615","2023-11-24T09:29:42.397-0800","1.60","96","6.26","","","","","",""
"205","46.741022","-121.916496","615","2023-11-24T09:30:30.398-0800","4.82","105","10.19","","","","","",""
"206","46.740945","-121.916151","616","2023-11-24T09:30:34.398-0800","8.16","108","10.25","","","","","",""
"207","46.740867","-121.915805","617","2023-11-24T09:30:37.398-0800","9.80","107","10.51","","","","","",""
"208","46.740819","-121.915543","619","2023-11-24T09:30:39.399-0800","10.63","101","10.61","","","","","",""
"209","46.740780","-121.915257","619","2023-11-24T09:30:41.399-0800","11.31","101","10.52","","","","","",""
"210","46.740702","-121.914798","621","2023-11-24T09:30:44.399-0800","12.45","113","10.56","","","","","",""
"211","46.740579","-121.914525","622","2023-11-24T09:30:46.399-0800","12.97","134","10.87","","","","","",""
"212","46.740294","-121.914179","623","2023-11-24T09:30:49.398-0800","13.92","135","11.25","","","","","",""
"213","46.740140","-121.913882","620","2023-11-24T09:30:51.398-0800","14.31","118","11.24","","","","","",""
"214","46.740044","-121.913530","621","2023-11-24T09:30:53.398-0800","14.11","113","11.42","","","","","",""
"215","46.739930","-121.913156","621","2023-11-24T09:30:55.398-0800","15.15","122","11.33","","","","","",""
"216","46.739757","-121.912825","622","2023-11-24T09:30:57.398-0800","15.84","135","10.99","","","","","",""
"217","46.739537","-121.912560","623","2023-11-24T09:30:59.398-0800","15.97","145","10.70","","","","","",""
"218","46.739188","-121.912226","625","2023-11-24T09:31:02.399-0800","15.12","147","10.56","","","","","",""
"219","46.738870","-121.911886","626","2023-11-24T09:31:05.399-0800","13.97","139","10.52","","","","","",""
"220","46.738647","-121.911386","627","2023-11-24T09:31:08.398-0800","14.77","108","7.00","","","","","",""
"221","46.738600","-121.910981","628","2023-11-24T09:31:10.399-0800","16.31","95","4.38","","","","","",""
"222","46.738635","-121.910284","630","2023-11-24T09:31:13.399-0800","18.50","76","3.94","","","","","",""
"223","46.738890","-121.909603","631","2023-11-24T09:31:16.397-0800","20.55","55","4.09","","","","","",""
"224","46.739110","-121.909150","632","2023-11-24T09:31:18.397-0800","21.96","55","4.43","","","","","",""
"225","46.739331","-121.908664","633","2023-11-24T09:31:20.398-0800","22.27","56","4.51","","","","","",""
"226","46.739534","-121.908161","635","2023-11-24T09:31:22.398-0800","22.15","62","4.47","","","","","",""
"227","46.739684","-121.907625","636","2023-11-24T09:31:24.399-0800","22.21","73","4.38","","","","","",""
"228","46.739759","-121.907071","637","2023-11-24T09:31:26.399-0800","21.11","80","4.54","","","","","",""
"229","46.739937","-121.906364","639","2023-11-24T09:31:29.397-0800","18.04","51","4.64","","","","","",""
"230","46.740176","-121.906049","640","2023-11-24T09:31:31.397-0800","17.48","40","5.04","","","","","",""
"231","46.740406","-121.905712","640","2023-11-24T09:31:33.398-0800","18.43","51","5.77","","","","","",""
"232","46.740581","-121.905283","641","2023-11-24T09:31:35.399-0800","18.52","64","6.18","","","","","",""
"233","46.740762","-121.904606","643","2023-11-24T09:31:38.398-0800","18.37","69","6.45","","","","","",""
"234","46.740938","-121.903949","645","2023-11-24T09:31:41.399-0800","18.03","66","7.00","","","","","",""
"235","46.741147","-121.903301","646","2023-11-24T09:31:44.397-0800","18.40","63","7.72","","","","","",""
"236","46.741306","-121.902873","647","2023-11-24T09:31:46.397-0800","18.85","62","7.66","","","","","",""
"237","46.741475","-121.902436","648","2023-11-24T09:31:48.397-0800","19.24","63","7.04","","","","","",""
"238","46.741635","-121.901992","649","2023-11-24T09:31:50.398-0800","19.40","62","6.51","","","","","",""
"239","46.741881","-121.901306","651","2023-11-24T09:31:53.398-0800","19.87","62","6.28","","","","","",""
"240","46.742122","-121.900612","653","2023-11-24T09:31:56.397-0800","19.17","63","7.25","","","","","",""
"241","46.742332","-121.899958","654","2023-11-24T09:31:59.398-0800","17.96","72","8.81","","","","","",""
"242","46.742373","-121.899504","654","2023-11-24T09:32:01.398-0800","17.61","94","10.27","","","","","",""
"243","46.742271","-121.899054","654","2023-11-24T09:32:03.398-0800","18.42","115","10.58","","","","","",""
"244","46.742036","-121.898411","656","2023-11-24T09:32:06.397-0800","18.47","115","10.10","","","","","",""
"245","46.741882","-121.897956","657","2023-11-24T09:32:08.398-0800","19.30","116","10.20","","","","","",""
"246","46.741650","-121.897256","659","2023-11-24T09:32:11.398-0800","19.57","115","11.68","","","","","",""
"247","46.741433","-121.896561","661","2023-11-24T09:32:14.397-0800","19.46","115","12.20","","","","","",""
"248","46.741283","-121.896094","662","2023-11-24T09:32:16.397-0800","19.97","114","12.00","","","","","",""
"249","46.741137","-121.895607","662","2023-11-24T09:32:18.398-0800","20.73","113","11.69","","","","","",""
"250","46.740921","-121.894842","663","2023-11-24T09:32:21.398-0800","21.05","106","11.52","","","","","",""
"251","46.740850","-121.894036","664","2023-11-24T09:32:24.398-0800","20.83","87","10.74","","","","","",""
"252","46.740932","-121.893196","666","2023-11-24T09:32:27.396-0800","21.95","81","10.28","","","","","",""
"253","46.740991","-121.892616","667","2023-11-24T09:32:29.396-0800","22.35","82","10.24","","","","","",""
"254","46.741048","-121.892036","667","2023-11-24T09:32:31.398-0800","22.19","83","10.26","","","","","",""
"255","46.741098","-121.891175","668","2023-11-24T09:32:34.398-0800","21.54","87","10.41","","","","","",""
"256","46.741111","-121.890356","669","2023-11-24T09:32:37.396-0800","20.24","84","10.37","","","","","",""
"257","46.741190","-121.889855","669","2023-11-24T09:32:39.398-0800","19.33","63","10.31","","","","","",""
"258","46.741492","-121.889249","670","2023-11-24T09:32:42.397-0800","18.83","53","10.65","","","","","",""
"259","46.741674","-121.888850","669","2023-11-24T09:32:44.397-0800","18.19","60","11.05","","","","","",""
"260","46.741805","-121.888435","669","2023-11-24T09:32:46.398-0800","17.43","67","11.02","","","","","",""
"261","46.741951","-121.887802","670","2023-11-24T09:32:49.398-0800","16.60","74","10.82","","","","","",""
"262","46.741984","-121.887378","670","2023-11-24T09:32:51.398-0800","16.16","99","10.72","","","","","",""
"263","46.741872","-121.887010","671","2023-11-24T09:32:53.398-0800","15.04","128","10.91","","","","","",""
"264","46.741653","-121.886768","671","2023-11-24T09:32:55.398-0800","14.61","150","10.88","","","","","",""
"265","46.741300","-121.886542","672","2023-11-24T09:32:58.397-0800","13.59","153","10.88","","","","","",""
"266","46.741099","-121.886342","673","2023-11-24T09:33:00.397-0800","13.31","136","10.81","","","","","",""
"267","46.740934","-121.886070","673","2023-11-24T09:33:02.398-0800","14.17","130","10.77","","","","","",""
"268","46.740707","-121.885563","675","2023-11-24T09:33:05.397-0800","15.73","118","10.48","","","","","",""
"269","46.740600","-121.885155","676","2023-11-24T09:33:07.398-0800","16.26","107","10.38","","","","","",""
"270","46.740541","-121.884728","677","2023-11-24T09:33:09.398-0800","16.66","99","10.34","","","","","",""
"271","46.740504","-121.884289","678","2023-11-24T09:33:11.398-0800","16.51","97","10.29","","","","","",""
"272","46.740454","-121.883637","679","2023-11-24T09:33:14.397-0800","16.84","97","10.12","","","","","",""
